province,type,data
贵阳,confirm,36
贵阳,dead,1
贵阳,heal,13
贵阳,new_confirm,0
遵义,confirm,32
遵义,dead,0
遵义,heal,15
遵义,new_confirm,0
毕节,confirm,23
毕节,dead,0
毕节,heal,10
毕节,new_confirm,0
黔南州,confirm,17
黔南州,dead,0
黔南州,heal,7
黔南州,new_confirm,0
铜仁,confirm,10
铜仁,dead,0
铜仁,heal,9
铜仁,new_confirm,0
六盘水,confirm,10
六盘水,dead,1
六盘水,heal,6
六盘水,new_confirm,0
黔东南州,confirm,10
黔东南州,dead,0
黔东南州,heal,4
黔东南州,new_confirm,0
安顺,confirm,4
安顺,dead,0
安顺,heal,1
安顺,new_confirm,0
黔西南州,confirm,4
黔西南州,dead,0
黔西南州,heal,4
黔西南州,new_confirm,0
